,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
114485,Delhi Capitals,Mumbai Indians,Visakhapatnam,196,117,1,207,22.0,10.05,0
114486,Delhi Capitals,Mumbai Indians,Visakhapatnam,196,116,0,207,16.5,10.14,0
114718,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,184,125,9,184,-0.0,8.83,1
114719,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,184,124,8,184,-0.0,8.9,1
114724,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,177,119,3,184,42.0,8.92,1
114725,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,177,118,2,184,21.0,9.0,1
114726,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,177,117,1,184,14.0,9.08,1
114727,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,173,116,0,184,16.5,8.95,1
114935,Punjab Kings,Royal Challengers Bangalore,Bangalore,201,119,3,212,66.0,10.13,0
114936,Punjab Kings,Royal Challengers Bangalore,Bangalore,195,118,2,212,51.0,9.92,0
114937,Punjab Kings,Royal Challengers Bangalore,Bangalore,195,117,1,212,34.0,10.0,0
114938,Punjab Kings,Royal Challengers Bangalore,Bangalore,195,116,0,212,25.5,10.09,0
115145,Delhi Capitals,Delhi Capitals,Raipur,151,119,3,159,48.0,7.61,0
115146,Delhi Capitals,Delhi Capitals,Raipur,151,118,2,159,24.0,7.68,0
115147,Delhi Capitals,Delhi Capitals,Raipur,151,119,1,159,48.0,7.61,0
115148,Delhi Capitals,Delhi Capitals,Raipur,150,118,0,159,27.0,7.63,0
115394,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,167,119,3,172,30.0,8.42,0
115395,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,167,118,2,172,15.0,8.49,0
115396,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,166,117,1,172,12.0,8.51,0
115397,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,164,116,0,172,12.0,8.48,0
115637,Royal Challengers Bangalore,Delhi Capitals,Raipur,139,125,9,139,-0.0,6.67,1
115638,Royal Challengers Bangalore,Delhi Capitals,Raipur,139,124,8,139,-0.0,6.73,1
115643,Royal Challengers Bangalore,Delhi Capitals,Raipur,134,119,3,139,30.0,6.76,1
115644,Royal Challengers Bangalore,Delhi Capitals,Raipur,134,118,2,139,15.0,6.81,1
115645,Royal Challengers Bangalore,Delhi Capitals,Raipur,134,117,1,139,10.0,6.87,1
115646,Royal Challengers Bangalore,Delhi Capitals,Raipur,130,116,0,139,13.5,6.72,1
115878,Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,156,119,3,163,42.0,7.87,0
115879,Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,151,118,2,163,36.0,7.68,0
115880,Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,149,117,1,163,28.0,7.64,0
115881,Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,148,116,0,163,22.5,7.66,0
116118,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,209,125,9,209,-0.0,10.03,0
116124,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,203,119,3,209,36.0,10.24,0
116125,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,203,118,2,209,18.0,10.32,0
116126,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,201,117,1,209,16.0,10.31,0
116127,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,195,116,0,209,21.0,10.09,0
116373,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,197,119,3,208,66.0,9.93,0
116374,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,197,118,2,208,33.0,10.02,0
116375,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,117,1,208,24.0,10.05,0
116376,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,116,0,208,18.0,10.14,0
116614,Delhi Capitals,Royal Challengers Bangalore,Bengaluru,158,125,9,158,-0.0,7.58,0
116620,Delhi Capitals,Royal Challengers Bangalore,Bengaluru,149,119,3,158,54.0,7.51,0
116621,Delhi Capitals,Royal Challengers Bangalore,Bengaluru,149,119,2,158,54.0,7.51,0
116622,Delhi Capitals,Royal Challengers Bangalore,Bengaluru,149,118,1,158,27.0,7.58,0
116623,Delhi Capitals,Royal Challengers Bangalore,Bengaluru,148,117,0,158,20.0,7.59,0
116866,Mumbai Indians,Kolkata Knight Riders,Mumbai,179,125,9,179,-0.0,8.59,1
116867,Mumbai Indians,Kolkata Knight Riders,Mumbai,179,124,8,179,-0.0,8.66,1
116872,Mumbai Indians,Kolkata Knight Riders,Mumbai,169,119,3,179,60.0,8.52,1
116873,Mumbai Indians,Kolkata Knight Riders,Mumbai,169,118,2,179,30.0,8.59,1
116874,Mumbai Indians,Kolkata Knight Riders,Mumbai,167,117,1,179,24.0,8.56,1
116875,Mumbai Indians,Kolkata Knight Riders,Mumbai,166,116,0,179,19.5,8.59,1
117115,Punjab Kings,Punjab Kings,Indore,149,125,9,149,-0.0,7.15,0
117121,Punjab Kings,Punjab Kings,Indore,141,119,3,149,48.0,7.11,0
117122,Punjab Kings,Punjab Kings,Indore,137,118,2,149,36.0,6.97,0
117123,Punjab Kings,Punjab Kings,Indore,136,117,1,149,26.0,6.97,0
117124,Punjab Kings,Punjab Kings,Indore,136,116,0,149,19.5,7.03,0
117330,Mumbai Indians,Sunrisers Hyderabad,Mumbai,159,125,9,159,-0.0,7.63,1
117336,Mumbai Indians,Sunrisers Hyderabad,Mumbai,149,119,3,159,60.0,7.51,1
117337,Mumbai Indians,Sunrisers Hyderabad,Mumbai,148,118,2,159,33.0,7.53,1
117338,Mumbai Indians,Sunrisers Hyderabad,Mumbai,144,117,1,159,30.0,7.38,1
117339,Mumbai Indians,Sunrisers Hyderabad,Mumbai,142,116,0,159,25.5,7.34,1
117579,Kolkata Knight Riders,Punjab Kings,Kolkata,166,119,3,171,30.0,8.37,1
117580,Kolkata Knight Riders,Punjab Kings,Kolkata,165,119,2,171,36.0,8.32,1
117581,Kolkata Knight Riders,Punjab Kings,Kolkata,165,118,1,171,18.0,8.39,1
117582,Kolkata Knight Riders,Punjab Kings,Kolkata,164,117,0,171,14.0,8.41,1
117801,Mumbai Indians,Royal Challengers Bangalore,Bangalore,143,125,9,143,-0.0,6.86,1
117802,Mumbai Indians,Royal Challengers Bangalore,Bangalore,143,124,8,143,-0.0,6.92,1
117807,Mumbai Indians,Royal Challengers Bangalore,Bangalore,139,119,3,143,24.0,7.01,1
117808,Mumbai Indians,Royal Challengers Bangalore,Bangalore,138,119,2,143,30.0,6.96,1
117809,Mumbai Indians,Royal Challengers Bangalore,Bangalore,137,118,1,143,18.0,6.97,1
117810,Mumbai Indians,Royal Challengers Bangalore,Bangalore,137,117,0,143,12.0,7.03,1
118046,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,173,125,9,173,-0.0,8.3,0
118052,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,168,119,3,173,30.0,8.47,0
118053,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,164,119,2,173,54.0,8.27,0
